Priority,EMu Column,EMu Module,Ref Module,Label,DAMS field,data-type,Field Visibility,Editability,Functionality,Value/logic,Field Type,Mandatory,Search Facet,Track History,Vocabulary
2,RelChildMediaRef_tab.SummaryData,emultimedia,[reverse-attached] emultimedia,Child Media,,text [atomic],,,,,,,,,
2,RelNotes,emultimedia,,Related Media Notes,,,,,,,,,,,
2,RelParentMediaRef.SummaryData,emultimedia,emultimedia,Paren Media,,text [atomic],,,,,,,,,
2,RelRelatedMediaRef_tab.SummaryData,emultimedia,emultimedia,Related Media,,,,,,,,,,,
2,RelRelationship_tab,emultimedia,,Relationship Type,,"text [atomic, lookup]",,,,,,,,,
?,AdmGUIDValue_tab,emultimedia,,GUID Value,,text [table],Limited,Read Only,store key/id from DAMS here?,,,,,,
?,AdmGUIDIsPreferred_tab,emultimedia,,Preferred GUID?,,text [table],Limited,Read Only,['No' if key from DAMS?],,,,,,
?,AdmGUIDType_tab,emultimedia,,GUID Type,,text [table],Limited,Read Only ,['?' if key from DAMS?],,,,,,
?,MulOtherNumbers_tab,emultimedia,,Other Numbers,,text [table],All Groups,Add/Edit,,,,,,,
?,MulOtherNumbersSource_tab,emultimedia,,Other Number Source,,text [table; lookup],All Groups,Add/Edit,,,,,,,
auto,MulIdentifier,emultimedia,,File Name,,text [atomic],All Groups,Read Only (or can files be renamed via DAMS interface?),,derived from file,Text-single,Mandatory,,on,
auto,MulMimeFormat,emultimedia,,File Format,,"text [atomic, lookup]",All Groups,Read Only,,derived from file,,,,,
auto,ChaMd5Sum,emultimedia,,Checksum,,text [atomic],All Groups,Read Only,,derived from file,,,,on,
auto,MulMimeType,emultimedia,,File Type,,"text [atomic, lookup]",All Groups,Read Only,,derived from file,,,,,
auto,ChaImageWidth,emultimedia,,Width,,text [atomic],All Groups,Read Only,,derived from file,,,,,
auto,ChaImageHeight,emultimedia,,Height,,text [atomic],All Groups,Read Only,,derived from file,,,,,
auto,ChaFileSize,emultimedia,,File Size,,numeric [atomic],All Groups,Read Only,,derived from file,,,,,
auto?,Multimedia,emultimedia,,File [download?],,text [atomic],All Groups,Add/Edit/Delete,,,,Mandatory,,,
,"DetContributorRef_tab.eparties[irn, GUID, SummaryData]",emultimedia,eparties,Contributor,,"numeric, text [table]",All Groups,Read Only,,,,,,,
,DetContributorRole_tab,emultimedia,,Contributor Role,,text [table],All Groups,Read Only,,,,,,,
,DetDate0,emultimedia,,Date,,date [table],All Groups,Add/Edit/Delete,,,,,,,
,DetDateDescription_tab,emultimedia,,Date Description,,text [table],All Groups,Add/Edit/Delete,,,,,,,
,"DetPublisherRef.eparties[irn, GUID, SummaryData]",emultimedia,eparties,Publisher,,"numeric, text [atomic]",All Groups,Read Only,,,,,,,
,Supplementary,emultimedia,,Supplementary File [download?],,text [table],Limited,Add/Edit/Delete,,,,,,,
,SupIdentifier_tab,emultimedia,,Supplementary File Name,,text [table],Limited,Read Only (or can files be renamed via DAMS interface?),,derived from file,,,,,
,SupFileSize_tab,emultimedia,,Supplementary File Size,,text [table],Limited,Read Only,,derived from file,,,,,
,SupMd5Sum_tab,emultimedia,,Supplementary MD5 Sum,,text [table],Limited,Read Only,,derived from file,,,,,
,,efmnhrepatriation,,Media Requests,,,,,,,,,,,
,,egroups,,Groups,,,,,,,,,,,
,,eparties,,People,,,,,,,,,,,
,,erights,,Rights,,,,,,,,,,,
,,enhmstratigraphy,,Stratigraphy,,,,,,,,,,,
,,ebibliography,,Bibliography,,,,,,,,,,,
