if_field1,if_logic1,if_value1,then_field,json_field,static_value,json_container
AccDateAccessioned,IS,NOT NULL,,ltc:temporalCoverageType,accession date,collectionHistory
AccAccessionNo,IS,NOT NULL,,ltc:identifierType,accession number,identifiers
NamFullName,IS,NOT NULL,,ltc:role,Collector,person
